City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Severo-Kurilsk,RU,2022-05-12 21:23:04,50.6789,156.125,40.57,90,71,3.0
126,Maneadero,MX,2022-05-12 21:23:05,31.7167,-116.5667,66.09,53,0,11.63
127,Araouane,ML,2022-05-12 21:21:11,18.9048,-3.5265,91.08,8,11,11.59
128,Eyl,SO,2022-05-12 21:15:58,7.9803,49.8164,82.42,81,100,14.65
129,Lima,PE,2022-05-12 21:18:26,-12.0432,-77.0282,62.38,23,100,11.5
130,Urucara,BR,2022-05-12 21:23:06,-2.5364,-57.76,80.89,86,11,3.22
131,Tasiilaq,GL,2022-05-12 21:16:04,65.6145,-37.6368,28.56,64,26,4.61
132,Inta,RU,2022-05-12 21:23:07,66.0317,60.1659,42.69,86,87,10.27
133,Nazas,MX,2022-05-12 21:23:08,25.2333,-104.1333,96.64,14,13,3.6
134,Panguna,PG,2022-05-12 21:23:08,-6.3164,155.4848,72.34,81,31,0.63
135,Tadine,NC,2022-05-12 21:23:09,-21.55,167.8833,73.08,60,100,20.38
136,Bastia,FR,2022-05-12 21:23:09,42.6667,9.3333,63.3,83,0,3.44
137,Jatiroto,ID,2022-05-12 21:23:10,-7.8833,111.1167,74.48,94,20,2.53
138,Puerto Ayora,EC,2022-05-12 21:16:06,-0.7393,-90.3518,82.36,91,53,4.0
139,Salina Cruz,MX,2022-05-12 21:23:11,16.1667,-95.2,96.96,34,0,23.8
140,Sur,OM,2022-05-12 21:23:11,22.5667,59.5289,88.23,32,52,10.07
141,Durango,MX,2022-05-12 21:19:52,24.8333,-104.8333,87.93,13,18,8.77
142,Sao Joao Da Barra,BR,2022-05-12 21:23:12,-21.6403,-41.0511,75.29,78,84,16.11
143,Fairbanks,US,2022-05-12 21:20:59,64.8378,-147.7164,44.94,83,75,10.36
144,Anadyr,RU,2022-05-12 21:23:13,64.75,177.4833,36.1,64,0,13.42
145,Luderitz,NA,2022-05-12 21:23:13,-26.6481,15.1594,55.13,79,4,11.12
146,Annau,TM,2022-05-12 21:23:14,37.8876,58.516,60.3,82,100,13.8
147,Airai,TL,2022-05-12 21:23:14,-8.9266,125.4092,59.5,91,73,1.19
148,Moose Factory,CA,2022-05-12 21:23:15,51.2585,-80.6094,55.4,76,100,6.91
149,Yellowknife,CA,2022-05-12 21:16:05,62.456,-114.3525,46.56,61,40,10.0
150,Bandarban,BD,2022-05-12 21:23:15,22.1965,92.2262,74.05,98,22,3.22
151,Lebu,CL,2022-05-12 21:23:16,-37.6167,-73.65,55.0,82,94,6.67
152,Nobeoka,JP,2022-05-12 21:23:17,32.5833,131.6667,68.02,97,100,0.78
153,Dikson,RU,2022-05-12 21:23:17,73.5069,80.5464,15.24,92,98,6.02
154,Denpasar,ID,2022-05-12 21:22:51,-8.65,115.2167,82.06,94,40,2.3
155,Colombo,LK,2022-05-12 21:19:48,6.9319,79.8478,80.8,84,53,15.59
156,Poya,NC,2022-05-12 21:23:18,-21.35,165.15,72.63,67,100,11.97
157,Carnarvon,AU,2022-05-12 21:16:15,-24.8667,113.6333,64.47,100,75,12.66
158,Bambous Virieux,MU,2022-05-12 21:23:19,-20.3428,57.7575,73.65,88,40,5.75
159,Dongsheng,CN,2022-05-12 21:23:20,39.8161,109.9776,37.42,28,19,8.32
160,Berasia,IN,2022-05-12 21:23:20,23.6333,77.4333,93.38,14,7,4.56
161,Novikovo,RU,2022-05-12 21:23:21,51.1537,37.8879,59.16,87,99,19.13
162,Kaitangata,NZ,2022-05-12 21:23:21,-46.2817,169.8464,45.79,77,78,5.01
163,Cortez,US,2022-05-12 21:23:22,37.3489,-108.5859,62.04,15,0,10.74
164,Samarai,PG,2022-05-12 21:16:10,-10.6167,150.6667,81.59,78,98,6.15
165,Margate,GB,2022-05-12 21:23:23,51.3813,1.3862,53.69,76,22,3.0
166,Porto Novo,BJ,2022-05-12 21:22:06,6.4965,2.6036,84.02,79,93,7.83
167,Oban,GB,2022-05-12 21:23:23,56.4127,-5.4706,48.38,93,100,16.49
168,Ketchikan,US,2022-05-12 21:23:24,55.3422,-131.6461,46.87,76,100,6.91
169,Kupang,ID,2022-05-12 21:23:24,-10.1667,123.5833,76.24,86,44,1.77
170,Ducheng,CN,2022-05-12 21:23:25,23.2373,111.5317,72.32,98,100,2.46
171,Lavrentiya,RU,2022-05-12 21:18:41,65.5833,-171.0,30.45,80,8,7.72
172,Ural,RU,2022-05-12 21:23:26,55.9078,94.7464,45.3,48,45,2.21
173,Klaksvik,FO,2022-05-12 21:23:26,62.2266,-6.589,43.72,65,91,23.64
174,Visby,SE,2022-05-12 21:23:27,57.6409,18.296,51.06,81,40,14.97
